zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Pontevedra,Novolerez - Metrovacesa,115.10,4,2,0,33.50,44.89,10.80,14.47,5.10,12.04,4.30,10.15,,,,,16.20,21.71,10.30,13.80,10.30,13.80,9.80,13.13,3.40,9.35,7.00,19.25,4.40,10.38
Pontevedra,Novolerez - Metrovacesa,109.70,4,2,1,32.40,43.42,10.10,13.53,5.00,11.80,4.00,9.44,,,3.00,7.08,11.90,15.95,9.60,12.86,9.60,12.86,9.60,12.86,2.90,7.98,8.60,23.65,3.00,7.08
Pontevedra,Novolerez - Metrovacesa,132.80,4,3,0,37.70,50.52,12.60,16.88,5.80,13.69,5.60,13.22,3.70,8.73,,,16.00,21.44,11.50,15.41,11.30,15.14,11.30,15.14,4.40,12.10,9.10,25.03,3.80,8.97
Sabadell,Essencia de Sabadell / Realia,79.61,3,1,0,24.24,32.48,9.60,12.86,4.24,10.01,,,,,,,11.87,15.91,11.28,15.12,10.79,14.46,,,2.59,7.12,5.00,13.75,,
Sabadell,Jardins de Can Gambus - Metrovacesa,106.35,4,2,0,44.17,59.19,9.21,12.34,5.39,12.72,4.72,11.14,,,,,12.27,16.44,8.56,11.47,7.69,10.30,6.07,8.13,4.31,11.85,3.96,10.89,,
Sabadell,Essencia de Sabadell / Realia,104.89,4,2,0,31.69,42.46,10.89,14.59,4.06,9.58,3.44,8.12,,,,,13.24,17.74,9.79,13.12,9.67,12.96,8.15,10.92,8.23,22.63,5.73,15.76,,
Sabadell,Etna,102.00,4,2,1,24.40,32.70,10.70,14.34,4.90,11.56,4.10,9.68,,,2.70,6.37,13.50,18.09,10.20,13.67,9.90,13.27,9.80,13.13,5.10,14.03,6.70,18.43,,
Sabadell,Essencia de Sabadell / Realia,107.68,4,2,1,29.34,39.32,10.57,14.16,4.98,11.75,4.40,10.38,,,2.92,6.89,13.70,18.36,9.75,13.07,9.75,13.07,9.59,12.85,4.26,11.72,8.42,23.16,,
Sevilla,Jardines de Oriente ,43.10,1,1,0,15.50,20.77,7.70,10.32,4.50,10.62,,,,,,,12.50,16.75,,,,,,,,,2.90,7.98,,
Sevilla,Macarena 40 / Aniceto,45.97,1,1,0,18.26,24.47,7.86,10.53,4.55,10.74,,,,,,,12.02,16.11,,,,,,,3.28,9.02,,,,
Sevilla,Pino Montano ,44.70,1,1,0,16.20,21.71,7.15,9.58,3.70,8.73,,,,,,,13.35,17.89,,,,,,,4.30,11.83,,,,
Sevilla,Pino Montano ,52.85,1,1,0,18.55,24.86,8.10,10.85,5.30,12.51,,,,,,,14.20,19.03,,,,,,,6.70,18.43,,,,
Sevilla,Pino Montano Emvisesa,47.65,1,1,0,18.00,24.12,7.80,10.45,3.50,8.26,,,,,,,11.05,14.81,,,,,,,3.85,10.59,3.45,9.49,,
Sevilla,Torreblanca / Alberchigo,54.05,2,1,0,18.21,24.40,7.05,9.45,3.84,9.06,,,,,,,12.06,16.16,11.06,14.82,,,,,,,1.83,5.03,,
Sevilla,Pol. Aerpuerto,58.46,2,1,0,23.11,30.97,7.42,9.94,3.97,9.37,,,,,,,10.54,14.12,8.92,11.95,,,,,2.26,6.22,2.24,6.16,,
Sevilla,Pino Montano Emvisesa,51.70,2,1,0,17.90,23.99,7.00,9.38,3.50,8.26,,,,,,,11.40,15.28,7.85,10.52,,,,,2.20,6.05,1.85,5.09,,
